No,Country/Region,App,Date,Ad requests,Returned ads,Impressions,Clicks,Fill rate%,Impression rate%,Click-through rate%,Estimated total revenue (USD),RPM (USD),Viewable impressions,Viewable impression rate%
1,"	Germany","	Kick Ball Crazy","	20210426",23639,23612,11042,2276,99.89,46.76,20.61,181.94,16.48,11105,47.03
2,"	Poland","	Kick Ball Crazy","	20210426",52085,51300,14981,2875,98.49,29.2,19.19,111.25,7.43,15271,29.77
3,"	France","	Kick Ball Crazy","	20210426",31486,31126,14350,2747,98.86,46.1,19.14,45.1,3.14,14422,46.33
4,"	Saudi Arabia","	Kick Ball Crazy","	20210426",24651,24125,14313,2424,97.87,59.33,16.94,44.89,3.14,14671,60.81
5,"	Italy","	Kick Ball Crazy","	20210426",13084,12942,8690,1517,98.91,67.15,17.46,34.15,3.93,8757,67.66
6,"	Egypt","	Kick Ball Crazy","	20210426",17695,17206,9156,1800,97.24,53.21,19.66,16.7,1.82,9633,55.99
7,"	Iraq","	Kick Ball Crazy","	20210426",6582,6174,3392,791,93.8,54.94,23.32,13.32,3.93,3466,56.14
8,"	United Kingdom","	Kick Ball Crazy","	20210426",2846,2604,1276,286,91.5,49,22.41,12.84,10.06,1280,49.16
9,"	Jordan","	Kick Ball Crazy","	20210426",6364,4834,2893,572,75.96,59.85,19.77,9.99,3.45,4867,100.68
10,"	Norway","	Kick Ball Crazy","	20210426",2384,2261,1195,161,94.84,52.85,13.47,5.28,4.42,1214,53.69
11,"	Turkey","	Kick Ball Crazy","	20210426",3384,3358,1285,238,99.23,38.27,18.52,4.85,3.77,1300,38.71
12,"	the United Arab Emirates","	Kick Ball Crazy","	20210426",3758,3539,2309,411,94.17,65.24,17.8,4.41,1.91,2359,66.66
13,"	Greece","	Kick Ball Crazy","	20210426",4185,2987,1442,175,71.37,48.28,12.14,4.16,2.88,1541,51.59
14,"	Russia","	Kick Ball Crazy","	20210426",3165,2558,1986,337,80.82,77.64,16.97,3.5,1.76,2098,82.02
